Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,19570.429688,20212.550781,19303.730469,20145.289063,20145.289063,2286651100
2023-01-04,20319.980469,20793.109375,20233.390625,20793.109375,20793.109375,3015986300
2023-01-05,21295.869141,21396.089844,20962.400391,21052.169922,21052.169922,2875372400
2023-01-06,21220.890625,21282.710938,20862.769531,20991.640625,20991.640625,2754459500
2023-01-09,21295.939453,21470.689453,21216.919922,21388.339844,21388.339844,2697924400
2023-01-10,21370.419922,21395.419922,21187.730469,21331.460938,21331.460938,2543159700
2023-01-11,21463.820313,21686.300781,21327.410156,21436.050781,21436.050781,2971313200
2023-01-12,21599.820313,21698.939453,21223.839844,21514.099609,21514.099609,2834627500
2023-01-13,21605.070313,21770.080078,21474.980469,21738.660156,21738.660156,2463604200
2023-01-16,21818.650391,21947.550781,21572.509766,21746.720703,21746.720703,2559091800
2023-01-17,21678.050781,21797.619141,21417.250000,21577.640625,21577.640625,2307534200
2023-01-18,21514.800781,21691.669922,21422.189453,21678.000000,21678.000000,2485346700
2023-01-19,21452.259766,21754.080078,21383.029297,21650.980469,21650.980469,1664915500
2023-01-20,21812.460938,22051.769531,21754.349609,22044.650391,22044.650391,1956241900
2023-01-26,22386.369141,22566.779297,22329.070313,22566.779297,22566.779297,2455079700
2023-01-27,22614.919922,22700.849609,22483.779297,22688.900391,22688.900391,2012141000
2023-01-30,22579.880859,22623.810547,21992.509766,22069.730469,22069.730469,3802780400
2023-01-31,22190.269531,22284.320313,21631.550781,21842.330078,21842.330078,3304372200
2023-02-01,21920.800781,22072.179688,21703.599609,22072.179688,22072.179688,2548571000
2023-02-02,22276.230469,22311.960938,21930.529297,21958.359375,21958.359375,2401245600
2023-02-03,21811.080078,21820.779297,21459.650391,21660.470703,21660.470703,2414664700
2023-02-06,21349.169922,21349.169922,21085.720703,21222.160156,21222.160156,2314469800
2023-02-07,21288.390625,21512.210938,21259.210938,21298.699219,21298.699219,1777942000
2023-02-08,21283.900391,21443.480469,21178.869141,21283.519531,21283.519531,1894498900
2023-02-09,21154.250000,21637.550781,21151.269531,21624.359375,21624.359375,1933829700
2023-02-10,21559.439453,21579.990234,21157.519531,21190.419922,21190.419922,1782692000
2023-02-13,20910.080078,21230.150391,20799.910156,21164.419922,21164.419922,1772634000
